date,open,high,low,close,Volume,Close time,Quote asset volume,Trades,Tbbav,Tbqav,ig
1649288520000,2922.74000000,2936.70000000,2921.56000000,2932.41000000,79.37270000,1649288699999,232398.80737200,203,50.06380000,146571.94905000,0
1649288700000,2932.71000000,2932.89000000,2919.68000000,2929.14000000,117.92430000,1649288879999,344850.58504200,312,76.81810000,224579.51162800,0
1649288880000,2929.51000000,2935.07000000,2923.19000000,2923.41000000,57.30060000,1649289059999,167850.07209700,198,24.37310000,71407.16826200,0
1649289060000,2921.40000000,2921.40000000,2906.23000000,2909.65000000,81.86840000,1649289239999,238341.82316100,310,38.12530000,110980.69696300,0
1649289240000,2909.34000000,2916.77000000,2905.89000000,2905.89000000,21.39060000,1649289419999,62222.73835500,78,9.09820000,26469.06418600,0
1649289420000,2905.88000000,2913.49000000,2905.00000000,2911.93000000,44.09230000,1649289599999,128318.83879700,123,28.63630000,83348.70929000,0
1649289600000,2909.40000000,2923.06000000,2906.23000000,2918.71000000,52.28310000,1649289779999,152387.54250100,161,31.95760000,93168.35365800,0
1649289780000,2918.85000000,2920.95000000,2912.37000000,2913.96000000,36.47910000,1649289959999,106379.22701100,133,20.76780000,60555.29537600,0
1649289960000,2913.25000000,2913.25000000,2905.41000000,2906.82000000,53.86280000,1649290139999,156693.55649600,151,32.56020000,94745.64643400,0
1649290140000,2906.98000000,2924.66000000,2903.01000000,2922.84000000,64.24920000,1649290319999,187219.53652200,193,28.13330000,81942.07579700,0
